# time(days) eclipse_dt(seconds) gw_freq(hertz)
2.018455699716295840e+03 -7.999186014210863505e+02 4.821743340541095185e-03
2.029092465335104862e+03 -8.083715643704636022e+02 4.821743573644140732e-03
2.042755364544531403e+03 -8.192945598959340714e+02 4.821743873064488622e-03
2.052427034958425793e+03 -8.270710225770017132e+02 4.821744085017707487e-03
2.063254300510450776e+03 -8.358202132410951890e+02 4.821744322295663451e-03
2.073048853038395919e+03 -8.437745561997871846e+02 4.821744536941900000e-03
2.083252845427707598e+03 -8.521014791287598200e+02 4.821744760560990259e-03
2.091199701898753574e+03 -8.586147966372664087e+02 4.821744934715284543e-03
2.100544361882669818e+03 -8.663054920572903939e+02 4.821745139502283534e-03
2.111620500213258310e+03 -8.754656104094465263e+02 4.821745382234445161e-03
2.120020132311658472e+03 -8.824443403864279389e+02 4.821745566311343850e-03
2.129179694792323517e+03 -8.900860272115096450e+02 4.821745767042051080e-03
2.138882598300907375e+03 -8.982169495502603240e+02 4.821745979680045965e-03
2.150664861058446149e+03 -9.081400533221312799e+02 4.821746237887001782e-03
2.156461740452290087e+03 -9.130422333197202533e+02 4.821746364924975672e-03
2.164171619778438071e+03 -9.195826037612278014e+02 4.821746533886153187e-03
2.173068634058691714e+03 -9.271590425778413191e+02 4.821746728863291788e-03
2.183742503254556595e+03 -9.362896140926750377e+02 4.821746962780058821e-03
2.193580417572682109e+03 -9.447447184546035714e+02 4.821747178376995825e-03
2.206050755966314682e+03 -9.555168552818940952e+02 4.821747451663300869e-03
2.216234353585217377e+03 -9.643589532526675612e+02 4.821747674835937490e-03
2.220657042054636349e+03 -9.682117180433124304e+02 4.821747771758774434e-03
2.231685321607238166e+03 -9.778523093365947716e+02 4.821748013442600164e-03
2.242705439379637937e+03 -9.875334715034114197e+02 4.821748254947607129e-03
2.255972425596627545e+03 -9.992517691644025035e+02 4.821748545692615059e-03
2.269100327052277862e+03 -1.010915251221740618e+03 4.821748833389653995e-03
2.279294684379155569e+03 -1.020019107266853098e+03 4.821749056798324030e-03
2.289711134452628812e+03 -1.029363450827077031e+03 4.821749285074180581e-03
2.298489609826268861e+03 -1.037271490869170520e+03 4.821749477453953284e-03
2.309442350795406128e+03 -1.047180636807752308e+03 4.821749717482669804e-03
2.315915496403227280e+03 -1.053059157716052141e+03 4.821749859341319631e-03
2.325303336145469530e+03 -1.061613863251113798e+03 4.821750065075369220e-03
2.335184700469690142e+03 -1.070655679173069075e+03 4.821750281625019827e-03
2.345457258157134220e+03 -1.080096100206719711e+03 4.821750506747692934e-03
2.352081539335138586e+03 -1.086205752343812492e+03 4.821750651918558714e-03
2.362449635451504491e+03 -1.095802959705179092e+03 4.821750879135017036e-03
2.373619022283618051e+03 -1.106189111659477931e+03 4.821751123911776661e-03
2.385777039964536471e+03 -1.117550253217632417e+03 4.821751390354401569e-03
2.398058131944816523e+03 -1.129085331420355942e+03 4.821751659494249997e-03
2.410429648500440635e+03 -1.140765222899790388e+03 4.821751930615810096e-03
2.420408371629022440e+03 -1.150229878150275908e+03 4.821752149299383082e-03
2.426204521652497533e+03 -1.155745383455359843e+03 4.821752276321945689e-03
2.436717712542966183e+03 -1.165783199360885192e+03 4.821752506718434902e-03
2.448127753890301392e+03 -1.176726426102686673e+03 4.821752756769441713e-03
